facility_id,type,name,zone,stand,near_block,level,distance_minutes,status
F001,Toilet,East Toilet 1,East Zone,East Stand,A10,Level 1,3,Open
F002,Food,East Snack Stall E4,East Zone,East Stand,A11,Level 1,2,Open
F003,Water,Water Point W3,East Zone,East Stand,A11,Level 1,2,Open
F004,Medical,Medical Room E1,East Zone,East Stand,A09,Level 1,4,Open
F005,Exit,Emergency Exit E2,East Zone,East Stand,A13,Level 1,2,Open
F006,Security,Steward Desk S2,East Zone,East Stand,A12,Level 1,1,Open
F007,Toilet,North Toilet 2,North Zone,North Stand,B03,Level 1,2,Open
F008,Food,North Grill Stall N2,North Zone,North Stand,B05,Level 1,4,Open
F009,Water,Water Point N1,North Zone,North Stand,B04,Level 1,1,Open
F010,Medical,Medical Room N1,North Zone,North Stand,B02,Level 1,3,Open
F011,Exit,Emergency Exit N3,North Zone,North Stand,B06,Level 1,2,Open
F012,Security,Steward Desk N1,North Zone,North Stand,B04,Level 1,1,Open
F013,Toilet,West Toilet 1,West Zone,West Stand,C08,Level 1,3,Open
F014,Food,West Snacks W2,West Zone,West Stand,C10,Level 1,2,Open
F015,Water,Water Point W1,West Zone,West Stand,C09,Level 1,1,Open
F016,Medical,Medical Room W1,West Zone,West Stand,C07,Level 1,4,Open
F017,Exit,Emergency Exit W2,West Zone,West Stand,C11,Level 1,2,Open
F018,Security,Steward Desk W1,West Zone,West Stand,C09,Level 1,1,Open
